ID,reads,Y_allignment_rate
S16_AGAC,279145,5.72
S7_TCAC,643939,2.46
S12_TCAC,271823,0.69
S5_ACCA,66767,4.63
S8_GACT,86977,3.32
S7_TGTC,517398,1.78
S17_AGTG,132504,1.71
S13_CTAC,411489,0.06
S14_ACCA,447868,3.28
S14_CATC,322334,4.01
S3_GCTT,311167,4.46
S1_ACCA,368211,4.18
S2_GTGT,246724,5.53
S7_AGTG,458740,2.03
S6_GACT,552994,3.79
S5_AGTG,159731,3.47
S8_CTAC,264920,2.50
S14_CTAC,163171,5.73
S16_GACT,134943,4.61
S9_TGTC,238742,1.03
S6_TGTC,219568,4.85
S16_GTGT,404740,1.13
S2_GACT,286301,2.15
S17_GCTT,77500,0.06
S11_GACT,226353,4.13
S15_TCAC,52619,2.65
S10_TCAC,496811,0.38
S16_TGTC,519923,1.78
S6_ACCA,130438,5.99
S11_TCAC,395788,3.32
S2_CATC,157500,5.82
S13_TGTC,218822,0.03
S1_TCAC,345299,5.33
S10_GTGA,480603,0.02
S2_GTGA,365148,4.15
S6_CATC,88614,4.45
S9_AGTG,200420,0.04
S17_AGAC,788049,0.06
S5_GCTT,223958,4.32
S6_TCAC,423392,3.35
S6_GTGA,386045,3.17
S16_TCAG,261438,3.68
S16_AGTG,532816,2.38
S17_ACCA,133768,0.03
S14_GCTT,195117,1.68
S9_AGAC,105803,5.47
S6_GTGT,390358,2.59
S14_GACT,300250,0.93
S5_GACT,665849,2.82
S2_AGTG,500727,2.45
S4_AGTG,176710,2.87
S12_TGTC,314769,0.46
S3_AGAC,228974,4.25
S3_ACCA,566244,2.84
S7_CTAC,311347,3.99
S1_TGTC,207191,4.78
S15_GTGT,242998,2.27
S12_GACT,461708,2.01
S10_TGTC,390974,1.28
S14_AGTG,475572,2.09
S14_AGAC,642654,1.38
S5_TCAC,270141,5.23
S17_GTGA,114751,3.26
S8_TCAC,293079,1.60
S9_TCAG,384589,0.13
S4_CATC,329553,3.53
S16_TCAC,247652,5.83
S7_CATC,259006,3.11
S12_CTAC,612030,0.36
S15_ACCA,225500,1.79
S5_TCAG,149117,4.26
S10_CTAC,321754,1.85
S3_GTGT,263747,3.36
S16_CATC,149284,3.56
S8_GTGA,256446,2.60
S3_TCAC,365213,5.52
S6_CTAC,130964,4.93
S6_AGTG,195729,3.10
S11_GCTT,372128,2.53
S13_GCTT,180468,3.43
S3_TCAG,444273,3.43
S9_CATC,229515,1.50
S14_GTGT,146388,1.03
S16_GCTT,137831,3.28
S13_TCAC,45205,2.56
S10_GACT,304492,2.19
S15_AGAC,62606,4.60
S7_ACCA,650698,1.83
