ID,reads,Y_allignment_rate
S16_AGAC,279145,0.22
S7_TCAC,643939,0.09
S12_TCAC,271823,0.08
S5_ACCA,66767,0.45
S8_GACT,86977,0.24
S7_TGTC,517398,0.09
S17_AGTG,132504,0.16
S13_CTAC,411489,0.02
S14_ACCA,447868,0.13
S14_CATC,322334,0.17
S3_GCTT,311167,0.19
S1_ACCA,368211,0.18
S2_GTGT,246724,0.22
S7_AGTG,458740,0.11
S6_GACT,552994,0.14
S5_AGTG,159731,0.22
S8_CTAC,264920,0.15
S14_CTAC,163171,0.28
S16_GACT,134943,0.29
S9_TGTC,238742,0.09
S6_TGTC,219568,0.25
S16_GTGT,404740,0.08
S2_GACT,286301,0.14
S17_GCTT,77500,0.01
S11_GACT,226353,0.20
S15_TCAC,52619,0.34
S10_TCAC,496811,0.04
S16_TGTC,519923,0.10
S6_ACCA,130438,0.35
S11_TCAC,395788,0.13
S2_CATC,157500,0.31
S13_TGTC,218822,0.01
S1_TCAC,345299,0.20
S10_GTGA,480603,0.00
S2_GTGA,365148,0.18
S6_CATC,88614,0.37
S9_AGTG,200420,0.01
S17_AGAC,788049,0.01
S5_GCTT,223958,0.23
S6_TCAC,423392,0.14
S6_GTGA,386045,0.15
S16_TCAG,261438,0.18
S16_AGTG,532816,0.10
S17_ACCA,133768,0.01
S14_GCTT,195117,0.14
S9_AGAC,105803,0.35
S6_GTGT,390358,0.13
S14_GACT,300250,0.09
S5_GACT,665849,0.11
S2_AGTG,500727,0.11
S4_AGTG,176710,0.20
S12_TGTC,314769,0.05
S3_AGAC,228974,0.23
S3_ACCA,566244,0.11
S7_CTAC,311347,0.21
S1_TGTC,207191,0.25
S15_GTGT,242998,0.14
S12_GACT,461708,0.09
S10_TGTC,390974,0.09
S14_AGTG,475572,0.11
S14_AGAC,642654,0.06
S5_TCAC,270141,0.23
S17_GTGA,114751,0.29
S8_TCAC,293079,0.11
S9_TCAG,384589,0.01
S4_CATC,329553,0.15
S16_TCAC,247652,0.23
S7_CATC,259006,0.16
S12_CTAC,612030,0.04
S15_ACCA,225500,0.12
S5_TCAG,149117,0.28
S10_CTAC,321754,0.11
S3_GTGT,263747,0.17
S16_CATC,149284,0.22
S8_GTGA,256446,0.16
S3_TCAC,365213,0.19
S6_CTAC,130964,0.32
S6_AGTG,195729,0.21
S11_GCTT,372128,0.13
S13_GCTT,180468,0.21
S3_TCAG,444273,0.13
S9_CATC,229515,0.09
S14_GTGT,146388,0.14
S16_GCTT,137831,0.25
S13_TCAC,45205,0.33
S10_GACT,304492,0.14
S15_AGAC,62606,0.43
S7_ACCA,650698,0.09
S9_TCAC,252834,0.04
S11_CATC,261607,0.24
S15_CATC,109865,0.35
S9_GTGT,91338,0.40
S4_GTGA,455362,0.13
S13_GACT,101824,0.27
S12_TCAG,228979,0.16
S14_GTGA,257091,0.23
S1_GTGT,190820,0.28
S2_TCAC,221958,0.24
S2_ACCA,271384,0.22
S8_ACCA,225691,0.16
S1_AGTG,224283,0.17
S4_GACT,196518,0.29
S3_AGTG,192919,0.22
S8_AGTG,244943,0.18
S2_CTAC,360326,0.18
S13_AGAC,387789,0.07
S9_GACT,240773,0.01
S9_GTGA,189282,0.20
S14_TCAC,726571,0.07
S11_CTAC,272157,0.19
S15_GTGA,294113,0.11
S17_TCAG,453686,0.12
S13_CATC,278442,0.02
S15_GCTT,201021,0.12
S6_TCAG,200083,0.24
S7_GTGT,194614,0.21
S9_CTAC,270691,0.05
S4_AGAC,272227,0.19
