Master Deer ID #	Luther Mother ID#	Sex (M/F)	Age Estimate (previous fall)	Tooth taken?	K Age	Date (mm/dd/yy)	County	CO Num	T	R	S	Conception Date (Julian Days)	Number of Fetuses	Sex #1	Sex #2	Sex #3	
002	IAF01	F	3.5		3.5	03/04/13	Lucas	59	71N	23W	2	312	2	M	M	
003	IAF02	F	1.5	x	1.5	04/08/13	Jones	53	84N	2W	8		2	F	M	
004	IAF03	F	2.5	x	2.5	04/08/13	Dubuque	31	87N	1W	26	328	2	M	F	
005	IAF04	F	4.5	x	6.5	04/09/13	Clinton	23	80N	3E	1	319	2	M	M	
008	IAF05	F	4.5	x	4.5	04/19/13	Wayne	93	68N	23W	10	328	3	M	M	M
009	IAF06	F	0.5		0.5	04/22/13	Union	88	71N	31W			1	1	F		
010	IAF07	F	8.5	x	9.5	05/01/13	Ringgold	80	68N	29W	1	301	2	F	M	
013	IAF08	F	2.5	x	2.5	02/13/14	Warren	91	75N	23W	20	327	2	F	F	
016	IAF09	F	3.5	x	3.5	02/24/14	Monroe	68	72N	19W	25		2	F	F	
029	IAF10	F	4.5	x	6.5	03/06/14	Lucas	59	72N	20W	32	318	2	M	M	
033	IAF11	F	1.5	x	1.5	03/06/14	Monroe	68	72N	17W	20	316	2	F	F	
035	IAF12	F	3.5	x	4.5	03/06/14	Monroe	68	72N	17W	5	323	2	M	F	
065	IAF13	F	3.5	x	2.5	03/12/14	Louisa	58	74N	3W	3	313	2	M	M	
096	IAF14	F	4.5	x	6.5	03/18/14	Taylor	87	68N	32W	21	317	2	F	F	
114	IAF15	F	3.5	x	3.5	03/20/14	Taylor	87	67N	35W	12	317	3	M	M	F
121	IAF16	F	4.5	x	4.5	03/20/14	Adams	2	71N	34W	1	331	2	F	F	
154	IAF17	F	3.5	x	4.5	03/27/14	Tama	86	83N	14W	29		2	M	F	
165	IAF18	F	7.5	x	8.5	04/01/14	Monroe	68	72N	17W	22	326	1	M		
207	IAF19	F	7.5	x	8.5	04/03/14	Cedar	16	81N	4W	19	315	1	M		
216	IAF20	F	2.5	x	2.5	04/08/14	Buchanan	10	89N	10W	10	320	2	F	M	
289	IAF21	F	1.5		1.5	04/17/14	Monona	67	83N	43W	5	313	2	F	F	
393	IAF22	F	3.5	X	4.5	05/05/14	Madison	61	74N	28W	26	337	2	F	M	
396	IAF23	F	0.5		0.5	05/06/14	Wayne	93	69N	23W	33		1	M		
014	IAF24	F	3.5	x	6.5	02/25/15	Appanoose	4	69N	18W	29	316	2	F	M	
117	IAF25	F	0.5		0.5	03/11/15	Muscatine	70	77N	3W	33		1	M		
175	IAF26	F	6.5	x	10.5	03/18/15	Montgomery	69	73N	36W	4	328	2	F	M	
268	IAF27	F	2.5	x	2.5	03/27/15	Warren	91	74N	24W	23	305	2	M	F	
312	IAF28	F	6.5	x	9.5	04/01/15	Jackson	49	84N	1E	23	309	2	M	F	
315	IAF29	F	6.5	x	5.5	04/01/15	Jones	53	84N	1W	21		3	M	M	F
436	IAF30	F	2.5	x	1.5	04/15/15	Lucas	59	72N	23W	18	318	2	M	M	
444	IAF31	F	1.5	x	1.5	04/15/15	Clarke	20	72N	26W	22	337	2	F	M	
001	IAF32	F	4.5	X	3.5	03/11/16	CLARKE	20	72N	25W	14	334	3	M	M	F
005	IAF33	F	5.5	X	5.5	03/16/16	WAYNE	93	69N	21W	6	335	3	F	M	F
008	IAF34	F	3.5	X	3.5	03/18/16	MONROE	68	71N	17W	9	328	2	F	F	
013	IAF35	F	3.5	X	3.5	03/25/16	DECATUR	27	67N	26W	6	330	3	M	M	F
017	IAF36	F	4.5	X	4.5	04/08/16	LUCAS	59	72N	21W	30	307	2	M	M	
018	IAF37	F	3.5	X	3.5	04/11/16	LUCAS	59	71N	23W	2	316	2	F	F	
019	IAF38	F	1.5		1.5	04/11/16	LUCAS	59	71N	23W	2	320	2	F	M	
021	IAF39	F	2.5	x	2.5	04/13/16	WARREN	91	75N	22W	30	313	2	F	M	
022	IAF40	F	1.5		1.5	04/16/16	APPANOOSE	4	70N	19W	17	316	2	F	M	
023	IAF41	F	3.5	X	4.5	04/18/16	LUCAS	59	71N	23W	34	375	2	M	M	
033	IAF42	F	3.5	X	2.5	05/02/16	MARION	63	76N	20W	24	336	2	M	M	
001	IAF43	F	6.5	X	8.5	01/31/17	LUCAS	59	72N	23W	14	320	2	M	M	
